Symptom 1,Symptom 2,Symptom 3,Disease,Treatment,,
Shortness of breath,Cough,Wheezing,Asthma,"Inhalers, medications, avoiding triggers",,
Chest pain,Cough,Fever,Pneumonia,"Antibiotics for bacterial pneumonia, antiviral medications for viral pneumonia, antifungal medications for fungal pneumonia, rest, fluids, OTC medicines",,
Persistent cough,Coughing up blood,Unexplained weight loss,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Breathlessness,Chronic cough,Fatigue,Chronic Obstructive Pulmonary Disease,"Quitting smoking, bronchodilators, steroids, pulmonary rehabilitation, oxygen therapy, surgery",,
Shortness of breath,Chest pain,Wheezing,Bronchitis,"Rest, fluids, OTC pain relievers, bronchodilators, steroids, oxygen therapy, pulmonary rehabilitation",,
Cough,Production of mucus,Fatigue,Bronchitis,"Rest, fluids, OTC pain relievers, bronchodilators, steroids",,
Shortness of breath,Chest tightness,Coughing up blood,Pulmonary Embolism,"Anticoagulant medications, thrombolytic therapy, surgical interventions",,
Cough,Night sweats,Weight loss,Tuberculosis,"Antibiotics for 6-9 months, supportive care",,
Shortness of breath,Dry cough,Fatigue,Pulmonary Fibrosis,"Medications to manage symptoms, oxygen therapy, pulmonary rehabilitation, lung transplant",,
Shortness of breath,Chronic cough,Chest pain,Emphysema,"Quitting smoking, bronchodilators, steroids, pulmonary rehabilitation, oxygen therapy",,
Cough,Chest discomfort,Mucus production,Chronic Bronchitis,"Quitting smoking, bronchodilators, steroids, pulmonary rehabilitation",,
Cough,Fever,Night sweats,Tuberculosis,"Antibiotics for 6-9 months, supportive care",,
Shortness of breath,Fatigue,Chest pain,Pulmonary Hypertension,"Medications to lower blood pressure, oxygen therapy, lung transplant",,
Cough,Difficulty breathing,Chest pain,Pleural Effusion,"Draining the fluid, treating the underlying cause",,
Cough,Fever,Chills,Influenza,"Antiviral medications, rest, fluids, OTC medications to manage symptoms",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Cough,Sputum production,Shortness of breath,COPD,"Quitting smoking, bronchodilators, steroids, pulmonary rehabilitation, oxygen therapy",,
Shortness of breath,Chest pain,Lightheadedness,Pneumothorax,"Chest tube insertion, surgery",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Chest discomfort,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Dizziness,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Shortness of breath,Chest tightness,Asthma,"Inhaled corticosteroids, bronchodilators",,
Cough,Mucus production,Wheezing,Chronic Bronchitis,"Bronchodilators, inhaled steroids, oxygen therapy",,
Shortness of breath,Chest pain,Rapid heart rate,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Cough with phlegm,Headache,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Difficulty breathing,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Coughing up blood,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hemoptysis,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Fatigue,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Dizziness,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Chest tightness,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Rapid breathing,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Chest pain,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Cough with phlegm,Headache,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Difficulty breathing,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Anxiety,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Chest discomfort,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Fainting,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Chest tightness,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Rapid breathing,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hemoptysis,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Fever,Cough with phlegm,Muscle aches,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Dizziness,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Shortness of breath,Chest tightness,Asthma,"Inhaled corticosteroids, bronchodilators",,
Cough,Mucus production,Wheezing,Chronic Bronchitis,"Bronchodilators, inhaled steroids, oxygen therapy",,
Shortness of breath,Chest pain,Anxiety,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Chest discomfort,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Difficulty breathing,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Coughing up blood,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hemoptysis,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Cough with phlegm,Muscle aches,Pneumonia,"Antibiotics, antivirals (if viral)",,
Persistent cough,Weight loss,Chest pain,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Cough with phlegm,Headache,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Difficulty breathing,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Rapid heart rate,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Chest discomfort,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Dizziness,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Shortness of breath,Chest tightness,Asthma,"Inhaled corticosteroids, bronchodilators",,
Cough,Mucus production,Shortness of breath,Chronic Bronchitis,"Bronchodilators, inhaled steroids, oxygen therapy",,
Shortness of breath,Chest pain,Anxiety,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hemoptysis,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Fatigue,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Chest tightness,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Coughing up blood,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Cough with phlegm,Muscle aches,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Shortness of breath,Chest tightness,Asthma,"Inhaled corticosteroids, bronchodilators",,
Cough,Mucus production,Wheezing,Chronic Bronchitis,"Bronchodilators, inhaled steroids, oxygen therapy",,
Shortness of breath,Chest pain,Anxiety,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Chest discomfort,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Fainting,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Chest tightness,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Rapid breathing,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hemoptysis,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Fever,Cough with phlegm,Muscle aches,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Dizziness,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Shortness of breath,Chest tightness,Asthma,"Inhaled corticosteroids, bronchodilators",,
Cough,Mucus production,Wheezing,Chronic Bronchitis,"Bronchodilators, inhaled steroids, oxygen therapy",,
Shortness of breath,Chest pain,Anxiety,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hoarseness,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Clubbing of fingers,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Difficulty breathing,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
Shortness of breath,Chest pain,Coughing up blood,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Hemoptysis,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Fatigue,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Swelling in ankles and feet,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Shortness of breath,Chest tightness,Asthma,"Inhaled corticosteroids, bronchodilators",,
Cough,Mucus production,Wheezing,Chronic Bronchitis,"Bronchodilators, inhaled steroids, oxygen therapy",,
Shortness of breath,Chest pain,Rapid heart rate,Pulmonary Embolism,"Anticoagulants, thrombolytics",,
Persistent cough,Weight loss,Loss of appetite,Lung Cancer,"Surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy",,
Shortness of breath on exertion,Dry cough,Chest discomfort,Idiopathic Pulmonary Fibrosis,"Antifibrotic drugs, oxygen therapy",,
Fever,Chills,Cough with phlegm,Pneumonia,"Antibiotics, antivirals (if viral)",,
Shortness of breath,Fatigue,Fainting,Pulmonary Hypertension,"Vasodilators, diuretics, oxygen therapy",,
Wheezing,Cough,Chest tightness,Bronchial Asthma,"Inhaled corticosteroids, bronchodilators",,
